CalexConfig Sampled Data
Date:,12/08/2026

Time,Sample No.,Unfiltered Temperature,Filtered Temperature,Sensor Temperature,
,,°C,°C,°C,
2026-08-12 11:50:07,0,28.0,28.0,23.8,
2026-08-12 11:50:08,1,27.9,27.9,23.8,
2026-08-12 11:50:09,2,28.0,28.0,23.8,
2026-08-12 11:50:10,3,27.9,27.9,23.8,
2026-08-12 11:50:11,4,27.9,27.9,23.8,
2026-08-12 11:50:12,5,28.0,28.0,23.8,
2026-08-12 11:50:13,6,27.9,27.9,23.8,
2026-08-12 11:50:14,7,27.9,27.9,23.8,
2026-08-12 11:50:15,8,28.0,28.0,23.8,
2026-08-12 11:50:16,9,28.0,28.0,23.8,
2026-08-12 11:50:17,10,28.0,28.0,23.8,
2026-08-12 11:50:18,11,28.0,28.0,23.8,
2026-08-12 11:50:19,12,28.0,28.0,23.8,
2026-08-12 11:50:20,13,27.9,27.9,23.8,
2026-08-12 11:50:21,14,27.9,27.9,23.8,
2026-08-12 11:50:28,21,27.9,27.9,23.8,
2026-08-12 11:50:29,22,28.0,28.0,23.8,
2026-08-12 11:50:30,23,27.9,27.9,23.8,
2026-08-12 11:50:31,24,27.9,27.9,23.8,
2026-08-12 11:50:32,25,27.9,27.9,23.8,
2026-08-12 11:50:33,26,28.0,28.0,23.8,
2026-08-12 11:50:34,27,28.0,28.0,23.8,
2026-08-12 11:50:35,28,27.9,27.9,23.8,
2026-08-12 11:50:36,29,27.9,27.9,23.8,
2026-08-12 11:50:37,30,28.0,28.0,23.8,
2026-08-12 11:50:38,31,27.9,27.9,23.8,
2026-08-12 11:50:39,32,27.9,27.9,23.8,
2026-08-12 11:50:40,33,27.9,27.9,23.8,
2026-08-12 11:50:41,34,27.9,27.9,23.8,
2026-08-12 11:50:42,35,27.8,27.8,23.8,
2026-08-12 11:50:50,43,27.9,27.9,23.8,
2026-08-12 11:50:51,44,27.8,27.8,23.8,
2026-08-12 11:50:52,45,27.8,27.8,23.8,
2026-08-12 11:50:53,46,27.8,27.8,23.8,
2026-08-12 11:50:54,47,27.9,27.9,23.8,
,,ooOoo
